                                     Institute                                                                                                                                              Academic Program Name Quota     Seat Type                                Gender Opening Rank Closing Rank
   Indian Institute  of Technology Bhubaneswar                                                                                                                Civil Engineering (4 Years, Bachelor of Technology)    AI          OPEN                        Gender-Neutral         8471        12396
   Indian Institute  of Technology Bhubaneswar                                                                                                                Civil Engineering (4 Years, Bachelor of Technology)    AI          OPEN Female-only (including Supernumerary)        16998        21029
   Indian Institute  of Technology Bhubaneswar                                                                                                                Civil Engineering (4 Years, Bachelor of Technology)    AI           EWS                        Gender-Neutral         1603         1760
   Indian Institute  of Technology Bhubaneswar                                                                                                                Civil Engineering (4 Years, Bachelor of Technology)    AI           EWS Female-only (including Supernumerary)         3536         3536
   Indian Institute  of Technology Bhubaneswar                                                                                                                Civil Engineering (4 Years, Bachelor of Technology)    AI       OBC-NCL                        Gender-Neutral         3044         4260
   Indian Institute  of Technology Bhubaneswar                                                                                                                Civil Engineering (4 Years, Bachelor of Technology)    AI       OBC-NCL Female-only (including Supernumerary)         6138         7788
   Indian Institute  of Technology Bhubaneswar                                                                                                                Civil Engineering (4 Years, Bachelor of Technology)    AI            SC                        Gender-Neutral         1829         2319
   Indian Institute  of Technology Bhubaneswar                                                                                                                Civil Engineering (4 Years, Bachelor of Technology)    AI            SC Female-only (including Supernumerary)         3093         3110
   Indian Institute  of Technology Bhubaneswar                                                                                                                Civil Engineering (4 Years, Bachelor of Technology)    AI            ST                        Gender-Neutral          656          698
   Indian Institute  of Technology Bhubaneswar                                                                                                                Civil Engineering (4 Years, Bachelor of Technology)    AI            ST Female-only (including Supernumerary)          909          909
   Indian Institute  of Technology Bhubaneswar                                                Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))    AI          OPEN                        Gender-Neutral        10473        12483
   Indian Institute  of Technology Bhubaneswar                                                Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))    AI          OPEN Female-only (including Supernumerary)        19197        19197
   Indian Institute  of Technology Bhubaneswar                                                Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))    AI           EWS                        Gender-Neutral         1691         1691
   Indian Institute  of Technology Bhubaneswar                                                Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))    AI       OBC-NCL                        Gender-Neutral         4402         4487
